书名,评分
"Hands-on Machine Learning with Scikit-Learn, Keras, and TensorFlow, 2nd Edition",10.0,https://book.douban.com/subject/30310982/
UNIX网络编程,9.5,https://book.douban.com/subject/1500149/
穿越计算机的迷雾,9.0,https://book.douban.com/subject/5432475/
"The Art of Computer Programming, Volumes 1-3 Boxed Set",9.5,https://book.douban.com/subject/1418402/
Programming Pearls,9.5,https://book.douban.com/subject/1484451/
算法设计手册,9.0,https://book.douban.com/subject/4048566/
程序员的数学2,9.1,https://book.douban.com/subject/26593822/
DK我的第一本编程思维启蒙书,9.5,https://book.douban.com/subject/33381537/
Python网络爬虫权威指南（第2版）,9.0,https://book.douban.com/subject/33386709/
x86汇编语言,9.3,https://book.douban.com/subject/20492528/
Java解惑,9.1,https://book.douban.com/subject/5362860/
Designing Event-Driven Systems,9.1,https://book.douban.com/subject/30417784/
推荐系统实践,9.0,https://book.douban.com/subject/10769749/
构建之法,9.1,https://book.douban.com/subject/25965995/
SQL基础教程,9.0,https://book.douban.com/subject/27055712/
程序员的职业素养,9.2,https://book.douban.com/subject/11614538/
TCP/IP详解 卷1：协议,9.0,https://book.douban.com/subject/1088054/
Haskell趣学指南,9.2,https://book.douban.com/subject/25803388/
操作系统导论,9.0,https://book.douban.com/subject/33463930/
Thinking in Java,9.0,https://book.douban.com/subject/1474824/
R数据科学,9.6,https://book.douban.com/subject/30277904/
软件开发者路线图,9.1,https://book.douban.com/subject/4924164/
The Practice of Programming,9.4,https://book.douban.com/subject/1459281/
Java 8实战,9.3,https://book.douban.com/subject/26772632/
正则指引（第2版）,9.4,https://book.douban.com/subject/30352656/
动手玩转Scratch2.0编程,9.1,https://book.douban.com/subject/26658602/
计算机科学概论,9.1,https://book.douban.com/subject/1435554/
Kubernetes in Action中文版,9.3,https://book.douban.com/subject/30418855/
C语言课程设计与游戏开发实践教程(教育部高等学校计算机类专业教学指导委员会推荐教材),9.0,https://book.douban.com/subject/27101121/
Pro Git (Second Edition),9.3,https://book.douban.com/subject/26208470/
More Effective C++（中文版）,9.2,https://book.douban.com/subject/5908727/
C语言接口与实现,9.1,https://book.douban.com/subject/6801697/
C++ Concurrency in Action,9.3,https://book.douban.com/subject/27036085/
JavaScript语言精粹,9.1,https://book.douban.com/subject/3590768/
高性能网站建设指南,9.2,https://book.douban.com/subject/3132277/
R语言之书 编程与统计,9.4,https://book.douban.com/subject/33418263/
"The Scheme Programming Language, 4th Edition",9.2,https://book.douban.com/subject/3917775/
R语言入门与实践,9.2,https://book.douban.com/subject/26808217/
The Rust Programming Language,9.1,https://book.douban.com/subject/27013197/
算法新解,9.2,https://book.douban.com/subject/26931430/
JavaScript设计模式与开发实践,9.1,https://book.douban.com/subject/26382780/
Java Concurrency in Practice,9.5,https://book.douban.com/subject/1888733/
Deep Learning with Python,9.4,https://book.douban.com/subject/27038207/
人工智能,9.3,https://book.douban.com/subject/6730363/
敏捷软件开发,9.3,https://book.douban.com/subject/2347790/
Automate the Boring Stuff with Python,9.0,https://book.douban.com/subject/26284938/
Algorithms + Data Structures = Programs,9.3,https://book.douban.com/subject/1438677/
算法之道(第2版),9.1,https://book.douban.com/subject/10564644/
Windows PowerShell实战指南（第3版）,9.5,https://book.douban.com/subject/27202653/
淘宝技术这十年,9.5,https://book.douban.com/subject/24335672/
Algorithms,9.4,https://book.douban.com/subject/1996256/
Software Foundations,10.0,https://book.douban.com/subject/25712292/
Effective Java,9.7,https://book.douban.com/subject/27047716/
Advanced R,9.7,https://book.douban.com/subject/26155050/
Pearls of Functional Algorithm Design,9.2,https://book.douban.com/subject/5290339/
Windows程序设计,9.0,https://book.douban.com/subject/5273955/
树莓派开始，玩转Linux,9.4,https://book.douban.com/subject/30259573/
汇编语言（第2版）,9.3,https://book.douban.com/subject/3037562/
Code Complete,9.0,https://book.douban.com/subject/1432042/
Think Python,9.0,https://book.douban.com/subject/26634683/
Hacker's Delight,9.3,https://book.douban.com/subject/1784887/
Designing Data-Intensive Applications,9.7,https://book.douban.com/subject/26197294/
深入理解Android,9.7,https://book.douban.com/subject/33390277/
Processing编程学习指南（原书第2版）,9.2,https://book.douban.com/subject/26992338/
有趣的二进制,9.4,https://book.douban.com/subject/26640242/
Docker——容器与容器云（第2版）,9.1,https://book.douban.com/subject/26894736/
Make Your Own Algorithmic Art,9.1,https://book.douban.com/subject/30425569/
CLR via C#,9.5,https://book.douban.com/subject/4924165/
Operating Systems,9.7,https://book.douban.com/subject/19973015/
Effective Java,9.3,https://book.douban.com/subject/3998727/
C++语言的设计与演化,9.2,https://book.douban.com/subject/10536031/
Web开发敏捷之道,9.1,https://book.douban.com/subject/2123092/
Problem Solving with Algorithms and Data Structures Using Python SECOND EDITION,9.3,https://book.douban.com/subject/21325184/
Ruby原理剖析,9.1,https://book.douban.com/subject/26920403/
算法概论,9.0,https://book.douban.com/subject/3155710/
Python数据结构与算法分析（第2版）,9.1,https://book.douban.com/subject/34785178/
软件架构设计,9.4,https://book.douban.com/subject/30443578/
"Real-Time Rendering, Third Edition",9.8,https://book.douban.com/subject/3213439/
Land of LISP,9.0,https://book.douban.com/subject/3704991/
趣学算法,9.0,https://book.douban.com/subject/27109832/
